"stop_id","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_desc","stop_timezone","wheelchair_boarding","level_id","platform_code"
"2450-490001320A","55758","Wembley Stadium","51.55559","-0.286098","","","0","","Stop SA","","1","",""
"2450-490001320B","57881","Wembley Stadium","51.55521","-0.286545","","","0","","Stop SD","","1","",""
"2450-490001320S","50210","Wembley Stadium","51.55455","-0.286324","","","0","","Stop SB","","1","",""
"2450-490001323A","55232","Westcombe Park","51.483522","0.01969","","","0","2450-910GWCOMBEP","Stop A","","1","",""
"2450-490001323B","49718","Westcombe Park","51.483087","0.019915","","","0","2450-910GWCOMBEP","Stop B","","1","",""
"2450-490001324W1","75259","West Croydon Station","51.378381","-0.103133","","","0","","Stop WS","","1","",""
"2450-490001324W2","71747","West Croydon Station","51.378534","-0.103688","","","0","","Stop WT","","1","",""
"2450-490001324W5","54188","West Croydon Station","51.378915","-0.103356","","","0","","Stop WA","","1","",""
"2450-490001324W6","58244","West Croydon Station","51.37875","-0.103133","","","0","","Stop WB","","1","",""
"2450-490001325E","58570","West Drayton Station","51.510199","-0.47308","","","0","","Stop E","","1","",""
"2450-490001325Z1","56060","West Drayton Station","51.510414","-0.472986","","","0","","Stand Z1","","1","",""
"2450-490001326E","76455","West Dulwich","51.441173","-0.090734","","","0","","Stop WA","","1","",""
"2450-490001326W","49258","West Dulwich","51.441059","-0.092019","","","0","","Stop WB","","1","",""
"2450-490001327A","74678","West Ealing Station","51.514294","-0.320709","","","0","","Stop A","","1","",""
"2450-490001327B","76371","West Ealing Station","51.514063","-0.320242","","","0","","Stop B","","1","",""
"2450-490001330N","71230","West Hampstead Thameslink Rail Station","51.548454","-0.191117","","","0","2450-910GWHMPSTM","Stop N","","1","",""
"2450-490001331T","47772","West Norwood","51.431662","-0.102539","","","0","","Stop T","","1","",""
"2450-490001331W","57513","West Norwood","51.43222","-0.104228","","","0","","Stop W","","1","",""
"2450-490001333N","50030","West Sutton","51.36641","-0.205784","","","0","","Stop A","","1","",""
"2450-490001334A","58492","Beckenham Rd West Wickham Stn","51.380226","-0.015297","","","0","","Stop A","","1","",""
"2450-490001334B","49608","Station Rd West Wickham Stn","51.379435","-0.014254","","","0","","Stop B","","1","",""
"2450-490001334C","57461","Red Lodge Road West Wickham Station","51.381628","-0.013096","","","0","","Stop C","","1","",""
